Alue;Aika;val
Pirkanmaan SHP;Vuosi 2020 Viikko 43;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 43;
Kymenlaakson SHP;Vuosi 2020 Viikko 43;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 43;
Etelä-Savon SHP;Vuosi 2020 Viikko 43;
Itä-Savon SHP;Vuosi 2020 Viikko 43;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 43;
Pohjois-Savon SHP;Vuosi 2020 Viikko 43;
Keski-Suomen SHP;Vuosi 2020 Viikko 43;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 43;
Vaasan SHP;Vuosi 2020 Viikko 43;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 43;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 43;
Kainuun SHP;Vuosi 2020 Viikko 43;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 43;
Lapin SHP;Vuosi 2020 Viikko 43;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 43;
Kaikki Alueet;Vuosi 2020 Viikko 43;
Ahvenanmaa;Vuosi 2020 Viikko 44;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 44;
Satakunnan SHP;Vuosi 2020 Viikko 44;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 44;
Pirkanmaan SHP;Vuosi 2020 Viikko 44;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 44;
Kymenlaakson SHP;Vuosi 2020 Viikko 44;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 44;
Etelä-Savon SHP;Vuosi 2020 Viikko 44;
Itä-Savon SHP;Vuosi 2020 Viikko 44;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 44;
Pohjois-Savon SHP;Vuosi 2020 Viikko 44;
Keski-Suomen SHP;Vuosi 2020 Viikko 44;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 44;
Vaasan SHP;Vuosi 2020 Viikko 44;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 44;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 44;
Kainuun SHP;Vuosi 2020 Viikko 44;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 44;
Lapin SHP;Vuosi 2020 Viikko 44;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 44;
Kaikki Alueet;Vuosi 2020 Viikko 44;
Ahvenanmaa;Vuosi 2020 Viikko 45;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 45;
Satakunnan SHP;Vuosi 2020 Viikko 45;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 45;
Pirkanmaan SHP;Vuosi 2020 Viikko 45;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 45;
Kymenlaakson SHP;Vuosi 2020 Viikko 45;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 45;
Etelä-Savon SHP;Vuosi 2020 Viikko 45;
Itä-Savon SHP;Vuosi 2020 Viikko 45;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 45;
Pohjois-Savon SHP;Vuosi 2020 Viikko 45;
Keski-Suomen SHP;Vuosi 2020 Viikko 45;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 45;
Vaasan SHP;Vuosi 2020 Viikko 45;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 45;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 45;
Kainuun SHP;Vuosi 2020 Viikko 45;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 45;
Lapin SHP;Vuosi 2020 Viikko 45;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 45;
Kaikki Alueet;Vuosi 2020 Viikko 45;
Ahvenanmaa;Vuosi 2020 Viikko 46;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 46;
Satakunnan SHP;Vuosi 2020 Viikko 46;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 46;
Pirkanmaan SHP;Vuosi 2020 Viikko 46;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 46;
Kymenlaakson SHP;Vuosi 2020 Viikko 46;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 46;
Etelä-Savon SHP;Vuosi 2020 Viikko 46;
Itä-Savon SHP;Vuosi 2020 Viikko 46;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 46;
Pohjois-Savon SHP;Vuosi 2020 Viikko 46;
Keski-Suomen SHP;Vuosi 2020 Viikko 46;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 46;
Vaasan SHP;Vuosi 2020 Viikko 46;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 46;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 46;
Kainuun SHP;Vuosi 2020 Viikko 46;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 46;
Lapin SHP;Vuosi 2020 Viikko 46;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 46;
Kaikki Alueet;Vuosi 2020 Viikko 46;
Ahvenanmaa;Vuosi 2020 Viikko 47;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 47;
Satakunnan SHP;Vuosi 2020 Viikko 47;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 47;
Pirkanmaan SHP;Vuosi 2020 Viikko 47;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 47;
Kymenlaakson SHP;Vuosi 2020 Viikko 47;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 47;
Etelä-Savon SHP;Vuosi 2020 Viikko 47;
Itä-Savon SHP;Vuosi 2020 Viikko 47;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 47;
Pohjois-Savon SHP;Vuosi 2020 Viikko 47;
Keski-Suomen SHP;Vuosi 2020 Viikko 47;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 47;
Vaasan SHP;Vuosi 2020 Viikko 47;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 47;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 47;
Kainuun SHP;Vuosi 2020 Viikko 47;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 47;
Lapin SHP;Vuosi 2020 Viikko 47;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 47;
Kaikki Alueet;Vuosi 2020 Viikko 47;
Ahvenanmaa;Vuosi 2020 Viikko 48;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 48;
Satakunnan SHP;Vuosi 2020 Viikko 48;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 48;
Pirkanmaan SHP;Vuosi 2020 Viikko 48;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 48;
Kymenlaakson SHP;Vuosi 2020 Viikko 48;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 48;
Etelä-Savon SHP;Vuosi 2020 Viikko 48;
Itä-Savon SHP;Vuosi 2020 Viikko 48;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 48;
Pohjois-Savon SHP;Vuosi 2020 Viikko 48;
Keski-Suomen SHP;Vuosi 2020 Viikko 48;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 48;
Vaasan SHP;Vuosi 2020 Viikko 48;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 48;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 48;
Kainuun SHP;Vuosi 2020 Viikko 48;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 48;
Lapin SHP;Vuosi 2020 Viikko 48;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 48;
Kaikki Alueet;Vuosi 2020 Viikko 48;
Ahvenanmaa;Vuosi 2020 Viikko 49;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 49;
Satakunnan SHP;Vuosi 2020 Viikko 49;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 49;
Pirkanmaan SHP;Vuosi 2020 Viikko 49;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 49;
Kymenlaakson SHP;Vuosi 2020 Viikko 49;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 49;
Etelä-Savon SHP;Vuosi 2020 Viikko 49;
Itä-Savon SHP;Vuosi 2020 Viikko 49;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 49;
Pohjois-Savon SHP;Vuosi 2020 Viikko 49;
Keski-Suomen SHP;Vuosi 2020 Viikko 49;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 49;
Vaasan SHP;Vuosi 2020 Viikko 49;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 49;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 49;
Kainuun SHP;Vuosi 2020 Viikko 49;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 49;
Lapin SHP;Vuosi 2020 Viikko 49;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 49;
Kaikki Alueet;Vuosi 2020 Viikko 49;
Ahvenanmaa;Vuosi 2020 Viikko 50;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 50;
Satakunnan SHP;Vuosi 2020 Viikko 50;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 50;
Pirkanmaan SHP;Vuosi 2020 Viikko 50;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 50;
Kymenlaakson SHP;Vuosi 2020 Viikko 50;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 50;
Etelä-Savon SHP;Vuosi 2020 Viikko 50;
Itä-Savon SHP;Vuosi 2020 Viikko 50;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 50;
Pohjois-Savon SHP;Vuosi 2020 Viikko 50;
Keski-Suomen SHP;Vuosi 2020 Viikko 50;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 50;
Vaasan SHP;Vuosi 2020 Viikko 50;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 50;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 50;
Kainuun SHP;Vuosi 2020 Viikko 50;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 50;
Lapin SHP;Vuosi 2020 Viikko 50;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 50;
Kaikki Alueet;Vuosi 2020 Viikko 50;
Ahvenanmaa;Vuosi 2020 Viikko 51;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 51;
Satakunnan SHP;Vuosi 2020 Viikko 51;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 51;
Pirkanmaan SHP;Vuosi 2020 Viikko 51;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 51;
Kymenlaakson SHP;Vuosi 2020 Viikko 51;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 51;
Etelä-Savon SHP;Vuosi 2020 Viikko 51;
Itä-Savon SHP;Vuosi 2020 Viikko 51;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 51;
Pohjois-Savon SHP;Vuosi 2020 Viikko 51;
Keski-Suomen SHP;Vuosi 2020 Viikko 51;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 51;
Vaasan SHP;Vuosi 2020 Viikko 51;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 51;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 51;
Kainuun SHP;Vuosi 2020 Viikko 51;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 51;
Lapin SHP;Vuosi 2020 Viikko 51;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 51;
Kaikki Alueet;Vuosi 2020 Viikko 51;
Ahvenanmaa;Vuosi 2020 Viikko 52;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 52;
Satakunnan SHP;Vuosi 2020 Viikko 52;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 52;
Pirkanmaan SHP;Vuosi 2020 Viikko 52;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 52;
Kymenlaakson SHP;Vuosi 2020 Viikko 52;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 52;
Etelä-Savon SHP;Vuosi 2020 Viikko 52;
Itä-Savon SHP;Vuosi 2020 Viikko 52;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 52;
Pohjois-Savon SHP;Vuosi 2020 Viikko 52;
Keski-Suomen SHP;Vuosi 2020 Viikko 52;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 52;
Vaasan SHP;Vuosi 2020 Viikko 52;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 52;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 52;
Kainuun SHP;Vuosi 2020 Viikko 52;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 52;
Lapin SHP;Vuosi 2020 Viikko 52;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 52;
Kaikki Alueet;Vuosi 2020 Viikko 52;
Ahvenanmaa;Vuosi 2020 Viikko 53;
Varsinais-Suomen SHP;Vuosi 2020 Viikko 53;
Satakunnan SHP;Vuosi 2020 Viikko 53;
Kanta-Hämeen SHP;Vuosi 2020 Viikko 53;
Pirkanmaan SHP;Vuosi 2020 Viikko 53;
Päijät-Hämeen SHP;Vuosi 2020 Viikko 53;
Kymenlaakson SHP;Vuosi 2020 Viikko 53;
Etelä-Karjalan SHP;Vuosi 2020 Viikko 53;
Etelä-Savon SHP;Vuosi 2020 Viikko 53;
Itä-Savon SHP;Vuosi 2020 Viikko 53;
Pohjois-Karjalan SHP;Vuosi 2020 Viikko 53;
Pohjois-Savon SHP;Vuosi 2020 Viikko 53;
Keski-Suomen SHP;Vuosi 2020 Viikko 53;
Etelä-Pohjanmaan SHP;Vuosi 2020 Viikko 53;
Vaasan SHP;Vuosi 2020 Viikko 53;
Keski-Pohjanmaan SHP;Vuosi 2020 Viikko 53;
Pohjois-Pohjanmaan SHP;Vuosi 2020 Viikko 53;
Kainuun SHP;Vuosi 2020 Viikko 53;
Länsi-Pohjan SHP;Vuosi 2020 Viikko 53;
Lapin SHP;Vuosi 2020 Viikko 53;
Helsingin ja Uudenmaan SHP;Vuosi 2020 Viikko 53;
Kaikki Alueet;Vuosi 2020 Viikko 53;
Ahvenanmaa;Aika;11
Varsinais-Suomen SHP;Aika;294
Satakunnan SHP;Aika;53
Kanta-Hämeen SHP;Aika;89
Pirkanmaan SHP;Aika;237
Päijät-Hämeen SHP;Aika;78
Kymenlaakson SHP;Aika;40
Etelä-Karjalan SHP;Aika;16
Etelä-Savon SHP;Aika;46
Itä-Savon SHP;Aika;10
Pohjois-Karjalan SHP;Aika;24
Pohjois-Savon SHP;Aika;127
Keski-Suomen SHP;Aika;127
Etelä-Pohjanmaan SHP;Aika;37
Vaasan SHP;Aika;51
Keski-Pohjanmaan SHP;Aika;13
Pohjois-Pohjanmaan SHP;Aika;129
Kainuun SHP;Aika;63
Länsi-Pohjan SHP;Aika;126
Lapin SHP;Aika;70
Helsingin ja Uudenmaan SHP;Aika;3932
Kaikki Alueet;Aika;5573
